"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,14.92,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,20.36,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,26.0,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,22.1,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,23.04,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,22.18,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,22.2,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,22.14,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,22.84,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,19.1,,GB,,R2
IE,Y42,"07 01 04*, 07 05 04*, 14 06 03*",A3140,,,,21.5,,GB,,R2
IE,Y2,07 05 04*,A3140,,,,17.54,,GB,,R2
IE,Y2,07 05 04*,A3140,,,,19.2,,GB,,R2
IE,Y2,07 05 04*,A3140,,,,17.7,,GB,,R2
IE,Y2,16 08 07*,A2030,,,,0.2,,GB,,R4
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,3.503,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,0.431,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.714,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.613,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.716,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.214,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,0.211,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,0.969,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,0.552,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,3.726,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.041,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.751,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,1.401,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,2.321,,DE,D10,
IE,Y41,"07 01 01*, 07 01 03*, 07 05 01*, 07 05 03*, 07 06 01*, 07 06 03*, 14 06 02*",A3150,,,,0.43,,DE,D10,
IE,Y2,19 01 13*,A4100,,,,7.74,,BE,,R5
IE,Y42,07 05 04*,A3140,,,,0.18,,NL,,"R1, R12"
IE,"Y2, Y6",07 05 04*,A3140,,,,23.48,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,22.68,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,22.84,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,20.36,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.14,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,22.94,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,21.8,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,20.22,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,21.18,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,22.62,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,24.14,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,22.28,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.44,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.46,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.4,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.4,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,21.04,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,23.36,,GB,D10,
IE,"Y2, Y6",07 05 04*,A3140,,,,20.466,,GB,D10,
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.62,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.94,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.02,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.84,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.96,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.9,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.82,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.94,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.84,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.58,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.0,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.9,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.08,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.74,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.46,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.94,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.72,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,24.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.36,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,24.96,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.84,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.54,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.14,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.8,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,24.16,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,23.8,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.92,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,6.72,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.22,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.88,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.86,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.08,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.22,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.28,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.06,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.36,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.58,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.5,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.93,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.92,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.64,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.24,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.28,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.32,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.86,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.96,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.56,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.14,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.8,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,27.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.18,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.56,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.8,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.04,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.16,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.44,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.82,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.96,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.52,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.66,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.44,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.2,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.62,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.26,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.28,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.14,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.54,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.02,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.12,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.5,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.32,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.72,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.38,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.78,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.02,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.88,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.22,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.24,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.14,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,13.86,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.78,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.84,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.46,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.36,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.5,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.28,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.66,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.5,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,24.42,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.16,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.26,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.4,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.22,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.74,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.88,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.74,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.56,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.62,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.86,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,22.04,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.34,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.82,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.82,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.78,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.3,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.1,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.68,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.3,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.6,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,18.08,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,20.26,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,21.98,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.2,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.5,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,16.02,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,15.68,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,17.04,,GB,,"R3, R4"
IE,Y46,"20 01 01, 20 01 39, 20 01 40",,,,,19.88,,GB,,"R3, R4"
IE,"Y18, Y34, Y35",16 05 08*,A4140,,,,0.18,,GB,D10,
IE,"Y18, Y34, Y35",16 05 08*,A4140,,,,0.1,,GB,D10,
IE,"Y18, Y34, Y35",16 05 08*,A4140,,,,0.16,,GB,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,23.06,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,24.46,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,22.12,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,19.34,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,22.06,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,20.68,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,24.86,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,24.1,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,20.36,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,21.04,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,20.86,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,23.98,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,21.48,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,21.68,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,23.0,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,24.08,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,23.9,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,17.82,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,20.34,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,20.22,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,29.26,,BE,D10,
IE,Y2,"07 05 01*, 07 05 03*, 07 05 04*",A4010,,,,22.7,,BE,D10,
