"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13
AD,Y1,,,,,,6.18,,ES,D10,,
AD,Y3,,,,,medicines,8.9,,ES,D9,,
AD,Y8,,,,,,284.2,,ES,,R9,
AD,Y9,,,,,,112.23,,ES,,R3,
AD,Y10,,,,,transformers with PCB's,23.595,,ES,D10,,
AD,Y13,,,,,paint and water with glue,184.16,,ES,D9,,
AD,Y16,,,,,,18.3,,ES,D9,,
AD,Y29,,,,,fluorescents lights and batteries (watch battery and others without Hg),19.12,,ES,,R4,
AD,Y31,,,,,batteries (and Y34),233.33,,ES,,R4,
AD,Y34,,,,,,11.1,,ES,D9,,
AD,Y36,,,,,,26.08,,ES,D5,,
AD,Y41,,,,,,5.4,,ES,D9,,
AD,Y42,,,,,,33.4,,ES,D9,,
AD,Y45 ,,,,,Halo 1301 and NAF SIII,0.394,,ES,D10,,
AD,Y47,,,,,ashes,1027.76,,FR,D5 ,,
AR,Y10,"Líquidos y capacitores conteniendo PCB en su interior y materiales sólidos contaminados con PCB tales como: trapos, material absorbente, materiales porosos, Elementos de Protección Personal (EPP), tierras y carcasas de equipos eléctricos",A3180,6.1,H11 H12,Sustancias tóxicas (con efecto retardados o crónicos); ecotóxicos,19.0,BE BR,ES,D9,,
AR,,"Líquidos y capacitores conteniendo PCB en su interior y materiales sólidos contaminados con PCB tales como: trapos, material absorbente, materiales porosos, Elementos de Protección Personal (EPP), tierras y carcasas de equipos eléctricos",A3180,6.1,H11 H12,Sustancias tóxicas (con efecto retardados o crónicos); ecotóxicos,30.7,BE BR,FR,D9,,
AE,Y_,Waste lithium Batteries,"A1170, A1180",9.0,,,130.0,US,CA,,R4,
AE,"Y31,Y34",Used Lead Acid Batteries,,9.0,"11,8",,10000.0,,KR,,R4,
AE,"Y31,Y34",Used Lead Acid Batteries,,9.0,"11,8",,6000.0,,BG,,R4,
AM,Y_,"Waste lead, Yacid batteries, whole or crushed",A1160,,,"Waste lead, Yacid batteries, whole or crushed",291.9,,IR,,R_,*
AT,Y_,,A1180,,H13,used electronic equipment ,15.8,,DE, ,R4,*
AT,Y_,,,,H13,impregnated wood,984.6,,DE, ,R1,
AT,Y_,,,,H13,contaminated soil,320.5,,DE, ,R12,
AT,Y_,,A4100, ,H13,of gas cleaning devices,0.05,,DE, ,R4,
AT,Y_,,A2030,,H13,spent catalysts,79.0,,DE, ,R8,
AT,Y_,,A1170,9.0,H12,lithium batteries,35.0,DE,FI, ,R4,
AT,Y_, ,A4100,,,off gas cleaning residues,314.2,,DE, ,R5,
AT,Y_,,,,H13,residues from pulp production,4824.9,CZ,PL, ,R3,
AT,Y1,waste from healthcare,A4020,6.2,H6.2,infectious wastes,167.9,,DE,D10, ,
AT,Y3,waste pharmaceuticals,4010.0,,H13,unsorted drugs,48.3,,DE,D10, ,
AT,Y3,waste pharmaceuticals,4010.0,4.1,H4.1,unsorted drugs,149.5,,DE,D10, ,
AT,Y5,wastes from PFU of wood preservation,,,H13,impregnated wood residues,913.1,,DE, ,R12,
AT,Y6,wastes from PFU of solvents,,,H13,break fluid,183.5,,DE, ,R3,
AT,Y6,wastes from PFU of solvents,A3140,3.0,H3,solvent mixtures,584.7,,DE, ,R2,
AT,Y7,wastes containing cyanides,A4050,6.1,H6.1,cyanide salts,6.7,,DE,D12, ,
AT,Y8,waste oil,,,H12,wastes from craft shops,1084.4,,CH,D10, ,
AT,Y8,waste oil,A4010,9.0,H13,waste oil,15730.3,,DE, ,R9,
AT,Y8,waste oil,A4010,9.0,H13,waste oil,3596.5,,DE, ,R9,
AT,Y8,waste oil,A4010,9.0,H13,waste oil,1367.4,,SK, ,R1,
AT,Y8,waste oil,A4010,9.0,H13,waste oil,575.4,,DE, ,R9,
AT,Y8,waste oil,A4010,9.0,H13,waste oil,124.3,,DE, ,R9,
AT,Y8,waste oil,,,H12,wastes from craft shops,650.2,,DE,D10, ,
AT,Y10, PCB containing wastes,A3180,9.0,H12,contaminated equipment,26.0,,DE, ,R4,
AT,Y11,tar containing wastes,,,H11,railway sleepers,1515.3,,DE, ,R3,
AT,Y11,tar containing wastes,,,H11,railway sleepers,9475.2,,DE, ,R12,
AT,Y11,tar containing wastes,,,H11,railway sleepers,26760.0,,DE, ,R1,
AT,Y11,tar containing wastes,A1190,,H13,cable,323.7,,DE, ,R12,
AT,Y11,tar containing wastes,A1190,,H13,cable,611.5,,DE, ,R12,
AT,Y12,waste from PFU of paints,A3140,3.0,H3,solvents,121.1,,DE, ,R2,
